Longitude,Latitude,Runoff,Precip,ET,SoilMoisture
-123.9375,41.8125,1828.64306641,2433.19189453,617.020019531,5770.49951172
-123.9375,41.9375,1857.23608398,2449.76147461,602.361999512,5775.90039062
-123.9375,42.0625,2324.1652832,2952.08886719,641.603942871,5885.80029297
-123.9375,42.1875,2911.85595703,3528.52807617,746.512084961,9831.19921875
-123.9375,42.3125,2426.67260742,3104.04663086,945.784973145,11011.5996094
-123.9375,42.4375,1608.84619141,2384.1628418,1021.20800781,10106.2001953
-123.9375,42.5625,2222.72973633,2898.39648438,928.432006836,9063.5
-123.9375,42.6875,1581.75976562,2379.38037109,1031.97692871,10109.8994141
-123.9375,42.8125,1988.67102051,2676.85205078,918.350097656,9139.20019531
-123.9375,42.9375,1482.38098145,2229.11816406,1039.89501953,10355.2998047
-123.9375,43.0625,734.208068848,1551.26025391,1045.8170166,9108.49902344
-123.9375,43.1875,797.923950195,1598.06396484,1046.73193359,9299.59960938
-123.9375,43.3125,1010.77398682,1766.41491699,1012.26000977,9829.90039062
-123.9375,43.4375,957.465026855,1742.84716797,1017.74798584,9741.59960938
-123.9375,43.5625,1376.02294922,2048.53051758,969.663024902,10524.9003906
-123.9375,43.6875,1285.58691406,1995.55712891,994.361938477,10389.0009766
-123.9375,43.8125,1244.39294434,1909.03173828,974.671020508,11139.3007812
-123.9375,43.9375,1365.59191895,2063.00415039,997.141967773,11320.4003906
-123.9375,44.0625,1285.96105957,2003.46582031,1018.75695801,11131.6005859
-123.9375,44.1875,1451.92797852,2138.00341797,986.661987305,11355.8994141
-123.9375,44.3125,1560.97399902,2249.92578125,984.729064941,10620.0996094
-123.9375,44.4375,1484.38305664,2184.65600586,1009.6630249,10491.0009766
-123.9375,44.5625,1380.53295898,1983.64294434,876.91192627,11504.7988281
-123.9375,44.6875,1164.77319336,1760.11877441,868.022949219,11292.1992188
-123.9375,44.8125,1294.84887695,1931.83728027,888.978942871,11376.9003906
-123.9375,44.9375,1481.21594238,2117.75341797,811.422973633,11887.7988281
-123.9375,45.0625,1473.92211914,2140.6328125,814.979980469,11941.3994141
-123.9375,45.1875,1196.02697754,1829.83032227,829.74597168,11579.5009766
-123.9375,45.3125,1253.19799805,1882.21203613,793.882995605,11705.2988281
-123.9375,45.4375,1252.48596191,1931.60095215,818.373046875,11752.6005859
-123.9375,45.5625,1427.36206055,2070.29321289,728.790039062,12110.5996094
-123.9375,45.6875,1288.7869873,1964.49157715,772.312988281,11889.3007812
-123.9375,45.8125,1736.9230957,2374.51147461,674.078979492,12476.1992188
-123.9375,45.9375,1428.77307129,2090.41845703,730.28503418,12133.2998047
-123.9375,46.0625,1105.74597168,1791.86083984,783.990966797,11636.7988281
-123.9375,46.1875,1056.99694824,1760.38354492,787.365966797,11531.5009766
-123.9375,46.3125,1481.52807617,2221.70605469,773.965942383,12178.3007812
-123.9375,46.4375,1425.25805664,2201.14941406,804.91796875,12100.5996094
-123.9375,46.5625,1149.83496094,1905.84375,800.859985352,11702.8007812
-123.9375,46.6875,1136.53198242,1890.06005859,791.301940918,11665.0996094
-123.9375,46.8125,1264.36499023,2043.30859375,798.803039551,11833.2998047
-123.9375,46.9375,1314.4699707,2069.59936523,765.310974121,11904.9003906
-123.9375,47.0625,1310.86499023,2125.40209961,819.375,11821.5009766
-123.9375,47.1875,1583.24584961,2410.77856445,830.725036621,12086.6015625
-123.9375,47.3125,1652.94799805,2520.28198242,871.446044922,12116.9003906
-123.9375,47.4375,1856.54394531,2706.02124023,843.942016602,12369.9003906
-123.9375,47.5625,3187.66113281,4035.18310547,678.870056152,12191.9003906
-123.9375,47.6875,2655.38598633,3508.40454102,697.101013184,11910.4990234
-123.9375,47.8125,2914.71923828,3731.3894043,683.103027344,12016.7001953
-123.9375,47.9375,3013.63525391,3796.87158203,607.544006348,10280.5996094
-123.9375,48.0625,1939.51904297,2727.29345703,723.248962402,11668.7001953
-123.9375,48.1875,678.021972656,1597.82666016,815.213989258,10131.9003906
-123.8125,39.1875,374.161956787,983.951965332,679.08001709,3459.80004883
-123.8125,39.3125,387.720001221,1000.09106445,676.552978516,3538.5
-123.8125,39.4375,421.686004639,1035.78112793,671.343017578,3613.30029297
-123.8125,39.5625,477.479949951,1102.50634766,668.49395752,3681.80004883
-123.8125,39.6875,790.815002441,1448.88708496,669.494934082,4505.89990234
-123.8125,39.8125,1026.9699707,1683.54870605,666.104003906,4599.70019531
-123.8125,39.9375,1112.61804199,1767.80200195,664.195007324,4621.29980469
-123.8125,40.0625,1130.13305664,1779.71801758,660.04901123,4598.79980469
-123.8125,40.1875,953.020996094,1611.13256836,669.677978516,4582.20019531
-123.8125,40.3125,834.209960938,1489.65661621,671.151062012,4563.29980469
-123.8125,40.4375,828.895019531,1457.02185059,645.435913086,4631.00048828
-123.8125,40.5625,886.446960449,1470.51599121,600.075012207,4751.79980469
-123.8125,40.6875,884.181945801,1486.84265137,621.605041504,4728.60009766
-123.8125,40.8125,853.876953125,1427.11047363,587.315979004,5341.89990234
-123.8125,40.9375,767.536071777,1412.35668945,668.032958984,4504.70068359
-123.8125,41.0625,766.674133301,1429.65246582,676.313964844,4594.79980469
-123.8125,41.1875,826.491027832,1505.29333496,707.833984375,4621.29980469
